Sr,STYLE,SEASON,CATEGORY,COLOUR,SKU,SIZE,QTY
359,MF0307,FW25,TOP,BLACK,10480337,52,0
360,MF0307,FW25,TOP,BLACK,10480338,54,0
361,MF0309,FW25,TOP,BEIGE,10411020,38,0
362,MF0309,FW25,TOP,BEIGE,10411021,40,0
363,MF0309,FW25,TOP,BEIGE,10411022,42,0
364,MF0309,FW25,TOP,BEIGE,10411023,44,0
365,MF0309,FW25,TOP,BEIGE,10411024,46,0
366,MF0309,FW25,TOP,BEIGE,10411025,48,0
367,MF0309,FW25,TOP,BEIGE,10411026,50,0
368,MF0309,FW25,TOP,BEIGE,10411027,52,0
369,MF0309,FW25,TOP,BEIGE,10411028,54,0
370,MF0309,FW25,TOP,BLACK,10478810,38,0
371,MF0309,FW25,TOP,BLACK,10478811,40,0
372,MF0309,FW25,TOP,BLACK,10478812,42,0
373,MF0309,FW25,TOP,BLACK,10478813,44,0
374,MF0309,FW25,TOP,BLACK,10478814,46,0
375,MF0309,FW25,TOP,BLACK,10478815,48,0
376,MF0309,FW25,TOP,BLACK,10478816,50,0
377,MF0309,FW25,TOP,BLACK,10478817,52,0
378,MF0309,FW25,TOP,BLACK,10478818,54,0
379,MF0318,FW25,TOP,BLACK,10439660,38,0
380,MF0318,FW25,TOP,BLACK,10439661,40,0
381,MF0318,FW25,TOP,BLACK,10439662,42,0
382,MF0318,FW25,TOP,BLACK,10439663,44,0
383,MF0318,FW25,TOP,BLACK,10439664,46,0
384,MF0318,FW25,TOP,BLACK,10439665,48,0
385,MF0318,FW25,TOP,BLACK,10439666,50,0
386,MF0318,FW25,TOP,BLACK,10439667,52,0
387,MF0318,FW25,TOP,BLACK,10439668,54,0
388,MF0318,FW25,TOP,BURGUNDY,10483110,38,0
389,MF0318,FW25,TOP,BURGUNDY,10483111,40,0
390,MF0318,FW25,TOP,BURGUNDY,10483112,42,0
391,MF0318,FW25,TOP,BURGUNDY,10483113,44,0
392,MF0318,FW25,TOP,BURGUNDY,10483114,46,0
393,MF0318,FW25,TOP,BURGUNDY,10483115,48,0
394,MF0318,FW25,TOP,BURGUNDY,10483116,50,0
395,MF0318,FW25,TOP,BURGUNDY,10483117,52,0
396,MF0318,FW25,TOP,BURGUNDY,10483118,54,0
397,MF0400,FW25,JACKET,BLACK,10483170,38,0
398,MF0400,FW25,JACKET,BLACK,10483171,40,0
399,MF0400,FW25,JACKET,BLACK,10483172,42,0
400,MF0400,FW25,JACKET,BLACK,10483173,44,0
401,MF0400,FW25,JACKET,BLACK,10483174,46,0
402,MF0400,FW25,JACKET,BLACK,10483175,48,0
403,MF0400,FW25,JACKET,BLACK,10483176,50,0
404,MF0400,FW25,JACKET,BLACK,10483177,52,0
405,MF0400,FW25,JACKET,BLACK,10483178,54,0
406,MF0402,FW25,GIACCA,BLACK,10478720,38,0
407,MF0402,FW25,GIACCA,BLACK,10478721,40,0
408,MF0402,FW25,GIACCA,BLACK,10478722,42,0
409,MF0402,FW25,GIACCA,BLACK,10478723,44,0
410,MF0402,FW25,GIACCA,BLACK,10478724,46,0
411,MF0402,FW25,GIACCA,BLACK,10478725,48,0
412,MF0402,FW25,GIACCA,BLACK,10478726,50,0
413,MF0402,FW25,GIACCA,BLACK,10478727,52,0
414,MF0402,FW25,GIACCA,BLACK,10478728,54,0
415,MF0404,FW25,JACKET,BLACK,10373620,38,0
416,MF0404,FW25,JACKET,BLACK,10373621,40,0
417,MF0404,FW25,JACKET,BLACK,10373622,42,0
418,MF0404,FW25,JACKET,BLACK,10373623,44,0
419,MF0404,FW25,JACKET,BLACK,10373624,46,0
420,MF0404,FW25,JACKET,BLACK,10373625,48,0
421,MF0404,FW25,JACKET,BLACK,10373626,50,0
422,MF0404,FW25,JACKET,BLACK,10373627,52,0
423,MF0404,FW25,JACKET,BLACK,10373628,54,0
424,MF0404,FW25,JACKET,BLUE,10438800,38,0
425,MF0404,FW25,JACKET,BLUE,10438801,40,0
426,MF0404,FW25,JACKET,BLUE,10438802,42,0
427,MF0404,FW25,JACKET,BLUE,10438803,44,0
428,MF0404,FW25,JACKET,BLUE,10438804,46,0
429,MF0404,FW25,JACKET,BLUE,10438805,48,0
430,MF0404,FW25,JACKET,BLUE,10438806,50,0
431,MF0404,FW25,JACKET,BLUE,10438807,52,0
432,MF0404,FW25,JACKET,BLUE,10438808,54,0
433,MF0406,FW25,JACKET,BLACK,10478730,38,0
434,MF0406,FW25,JACKET,BLACK,10478731,40,0
435,MF0406,FW25,JACKET,BLACK,10478732,42,0
436,MF0406,FW25,JACKET,BLACK,10478733,44,0
437,MF0406,FW25,JACKET,BLACK,10478734,46,0
438,MF0406,FW25,JACKET,BLACK,10478735,48,0
439,MF0406,FW25,JACKET,BLACK,10478736,50,0
440,MF0406,FW25,JACKET,BLACK,10478737,52,0
441,MF0406,FW25,JACKET,BLACK,10478738,54,0
442,MF0407,FW25,COAT,BROWN,10483220,38,0
443,MF0407,FW25,COAT,BROWN,10483221,40,0
444,MF0407,FW25,COAT,BROWN,10483222,42,0
445,MF0407,FW25,COAT,BROWN,10483223,44,0
446,MF0407,FW25,COAT,BROWN,10483224,46,0
447,MF0407,FW25,COAT,BROWN,10483225,48,0
448,MF0407,FW25,COAT,BROWN,10483226,50,0
449,MF0407,FW25,COAT,BROWN,10483227,52,0
450,MF0407,FW25,COAT,BROWN,10483228,54,0
451,MF0416,FW25,JACKET,OFF-WHITE,10483180,38,0
452,MF0416,FW25,JACKET,OFF-WHITE,10483181,40,0
453,MF0416,FW25,JACKET,OFF-WHITE,10483182,42,0
454,MF0416,FW25,JACKET,OFF-WHITE,10483183,44,0
455,MF0416,FW25,JACKET,OFF-WHITE,10483184,46,0
456,MF0416,FW25,JACKET,OFF-WHITE,10483185,48,0
457,MF0416,FW25,JACKET,OFF-WHITE,10483186,50,0
458,MF0416,FW25,JACKET,OFF-WHITE,10483187,52,0
459,MF0416,FW25,JACKET,OFF-WHITE,10483188,54,0
460,MF0419,FW25,JACKET,MULTI,10491670,38,0
461,MF0419,FW25,JACKET,MULTI,10491671,40,0
462,MF0419,FW25,JACKET,MULTI,10491672,42,0
